ID,Education
0,Graduate
1,Post Graduate
2,Graduate
3,Post Graduate
4,Post Graduate
5,12th Pass
6,Post Graduate
7,Post Graduate
8,Post Graduate
9,Graduate Professional
10,Graduate
11,Graduate Professional
12,Graduate Professional
13,Post Graduate
14,Graduate
15,Graduate
16,Graduate
17,Post Graduate
18,Graduate Professional
19,Graduate
20,Graduate
21,Graduate
22,Graduate
23,Post Graduate
24,Graduate Professional
25,Post Graduate
26,Post Graduate
27,Graduate Professional
28,Post Graduate
29,Graduate Professional
30,Graduate
31,Post Graduate
32,Graduate
33,Post Graduate
34,Graduate
35,Graduate
36,Graduate
37,Graduate
38,Graduate
39,Graduate
40,Graduate
41,Post Graduate
42,Graduate Professional
43,Post Graduate
44,Graduate
45,Graduate
46,Post Graduate
47,Post Graduate
48,12th Pass
49,Graduate
50,Graduate
51,Post Graduate
52,Graduate
53,Post Graduate
54,12th Pass
55,Post Graduate
56,Graduate
57,Graduate
58,Graduate
59,Graduate
60,Graduate Professional
61,Graduate
62,Graduate
63,Graduate
64,12th Pass
65,Graduate
66,12th Pass
67,Post Graduate
68,Graduate
69,Graduate Professional
70,Graduate
71,12th Pass
72,12th Pass
73,Graduate Professional
74,Graduate
75,Graduate
76,Graduate
77,Graduate
78,12th Pass
79,Graduate
80,Graduate
81,Post Graduate
82,Graduate
83,Graduate Professional
84,12th Pass
85,Post Graduate
86,Post Graduate
87,Graduate
88,12th Pass
89,12th Pass
90,Graduate
91,12th Pass
92,12th Pass
93,Post Graduate
94,Graduate
95,Graduate
96,Graduate
97,Graduate
98,Post Graduate
99,Post Graduate
100,Graduate
101,12th Pass
102,Post Graduate
103,Graduate
104,Graduate
105,12th Pass
106,12th Pass
107,Graduate Professional
108,Graduate
109,Graduate
110,10th Pass
111,Post Graduate
112,12th Pass
113,Post Graduate
114,Graduate
115,Graduate Professional
116,Graduate
117,Graduate
118,Graduate Professional
119,Graduate
120,Post Graduate
121,Post Graduate
122,Post Graduate
123,Graduate
124,Graduate
125,12th Pass
126,Post Graduate
127,Graduate
128,Graduate
129,Graduate Professional
130,Post Graduate
131,Post Graduate
132,12th Pass
133,12th Pass
134,Post Graduate
135,12th Pass
136,Post Graduate
137,12th Pass
138,Post Graduate
139,Graduate
140,Graduate
141,Graduate Professional
142,Graduate
143,Post Graduate
144,Graduate
145,Post Graduate
146,Graduate
147,Post Graduate
148,12th Pass
149,12th Pass
150,Graduate
151,Graduate
152,Graduate
153,Graduate
154,Graduate
155,Post Graduate
156,12th Pass
157,Graduate
158,Graduate
159,12th Pass
160,Post Graduate
161,Post Graduate
162,Graduate
163,10th Pass
164,12th Pass
165,Graduate
166,12th Pass
167,Graduate
168,Post Graduate
169,Graduate
170,Graduate Professional
171,Post Graduate
172,12th Pass
173,Post Graduate
174,Post Graduate
175,Graduate
176,Graduate Professional
177,Post Graduate
178,Post Graduate
179,Post Graduate
180,Post Graduate
181,Graduate Professional
182,Graduate
183,Graduate
184,Post Graduate
185,12th Pass
186,12th Pass
187,Graduate Professional
188,12th Pass
189,Post Graduate
190,Post Graduate
191,Graduate Professional
192,Graduate
193,Post Graduate
194,Graduate
195,12th Pass
196,Graduate
197,10th Pass
198,Graduate
199,Post Graduate
200,Graduate
201,Post Graduate
202,Graduate
203,Graduate Professional
204,Graduate
205,Post Graduate
206,Graduate Professional
207,Graduate
208,Graduate
209,Graduate
210,Post Graduate
211,Post Graduate
212,Graduate Professional
213,12th Pass
214,Graduate
215,Post Graduate
216,Graduate
217,Graduate
218,Graduate
219,Post Graduate
220,Graduate
221,Graduate
222,12th Pass
223,12th Pass
224,Graduate
225,12th Pass
226,Post Graduate
227,Graduate Professional
228,Graduate Professional
229,Graduate
230,Graduate Professional
231,Post Graduate
232,Graduate Professional
233,Graduate
234,Post Graduate
235,Post Graduate
236,Graduate
237,Graduate
238,Graduate
239,Graduate
240,Post Graduate
241,Graduate
242,Graduate
243,Graduate
244,Graduate
245,Post Graduate
246,Graduate
247,Graduate Professional
248,Post Graduate
249,Post Graduate
250,Graduate Professional
251,12th Pass
252,Post Graduate
253,Post Graduate
254,Graduate
255,Graduate
256,Graduate
257,Post Graduate
258,Post Graduate
259,Graduate
260,Graduate
261,12th Pass
262,Post Graduate
263,Graduate
264,Post Graduate
265,Graduate Professional
266,10th Pass
267,12th Pass
268,Post Graduate
269,Graduate Professional
270,Graduate
271,10th Pass
272,Graduate
273,Post Graduate
274,Graduate
275,Post Graduate
276,12th Pass
277,Graduate Professional
278,Graduate
279,Post Graduate
280,Post Graduate
281,12th Pass
282,Graduate
283,Graduate
284,Post Graduate
285,10th Pass
286,Graduate
287,Graduate
288,Graduate
289,Graduate
290,Post Graduate
291,Post Graduate
292,Post Graduate
293,Post Graduate
294,Graduate
295,12th Pass
296,Graduate
297,Graduate
298,Graduate
299,Post Graduate
300,Graduate
301,Post Graduate
302,Graduate
303,Post Graduate
304,Graduate
305,Graduate
306,Graduate
307,Graduate
308,Graduate Professional
309,Post Graduate
310,Graduate
311,10th Pass
