ID,Education
0,12th Pass
1,Post Graduate
2,Graduate
3,Post Graduate
4,10th Pass
5,Post Graduate
6,Post Graduate
7,12th Pass
8,12th Pass
9,Graduate Professional
10,Graduate
11,Graduate Professional
12,Graduate Professional
13,Graduate Professional
14,Graduate
15,Post Graduate
16,Post Graduate
17,Post Graduate
18,Graduate Professional
19,Post Graduate
20,Graduate
21,Graduate
22,Graduate
23,12th Pass
24,Graduate Professional
25,Graduate Professional
26,Graduate
27,Graduate
28,Post Graduate
29,Graduate Professional
30,Graduate
31,Graduate
32,Post Graduate
33,12th Pass
34,Graduate
35,Graduate
36,12th Pass
37,12th Pass
38,Graduate
39,Graduate
40,Graduate
41,12th Pass
42,Graduate Professional
43,Post Graduate
44,Graduate
45,Post Graduate
46,Post Graduate
47,Post Graduate
48,Graduate
49,12th Pass
50,Graduate Professional
51,Graduate Professional
52,Graduate
53,12th Pass
54,12th Pass
55,Graduate Professional
56,Post Graduate
57,Graduate
58,Post Graduate
59,Graduate
60,Graduate Professional
61,Graduate
62,Graduate
63,Graduate
64,12th Pass
65,Graduate
66,Post Graduate
67,10th Pass
68,Graduate
69,Graduate
70,Graduate
71,12th Pass
72,Graduate
73,Graduate
74,Post Graduate
75,12th Pass
76,Graduate
77,Graduate
78,12th Pass
79,Graduate
80,Post Graduate
81,10th Pass
82,Graduate
83,10th Pass
84,Post Graduate
85,Post Graduate
86,Post Graduate
87,Graduate Professional
88,Graduate
89,12th Pass
90,Graduate
91,Graduate
92,Graduate
93,Post Graduate
94,Graduate
95,Graduate
96,Graduate Professional
97,Graduate Professional
98,Post Graduate
99,Graduate Professional
100,Graduate
101,12th Pass
102,10th Pass
103,Graduate
104,Post Graduate
105,Graduate
106,12th Pass
107,Graduate Professional
108,Post Graduate
109,12th Pass
110,12th Pass
111,Graduate
112,Post Graduate
113,Post Graduate
114,Graduate
115,Graduate
116,Graduate
117,Graduate
118,10th Pass
119,Graduate Professional
120,12th Pass
121,Graduate
122,10th Pass
123,Graduate
124,Graduate
125,12th Pass
126,Post Graduate
127,Graduate Professional
128,Post Graduate
129,Graduate
130,12th Pass
131,Graduate Professional
132,12th Pass
133,Graduate
134,Post Graduate
135,12th Pass
136,Graduate
137,10th Pass
138,Post Graduate
139,Post Graduate
140,Graduate
141,Graduate Professional
142,Graduate
143,Post Graduate
144,Graduate
145,Post Graduate
146,Post Graduate
147,Graduate
148,12th Pass
149,Post Graduate
150,Graduate Professional
151,Graduate
152,12th Pass
153,Graduate
154,Graduate
155,Post Graduate
156,Graduate
157,Graduate
158,10th Pass
159,12th Pass
160,Post Graduate
161,Post Graduate
162,Graduate Professional
163,Post Graduate
164,Post Graduate
165,Post Graduate
166,Graduate
167,Graduate
168,Post Graduate
169,Graduate
170,Graduate Professional
171,Graduate
172,Post Graduate
173,Post Graduate
174,10th Pass
175,Graduate
176,10th Pass
177,Graduate Professional
178,Post Graduate
179,Post Graduate
180,Graduate
181,Graduate Professional
182,Post Graduate
183,Graduate
184,Graduate
185,12th Pass
186,Post Graduate
187,10th Pass
188,12th Pass
189,Graduate Professional
190,Graduate
191,10th Pass
192,Graduate
193,Graduate Professional
194,Graduate Professional
195,Graduate
196,Graduate
197,12th Pass
198,Graduate
199,Post Graduate
200,Graduate
201,Graduate Professional
202,Graduate
203,12th Pass
204,Graduate
205,Post Graduate
206,Graduate Professional
207,Graduate
208,Graduate
209,Graduate Professional
210,Graduate Professional
211,Graduate Professional
212,Graduate Professional
213,12th Pass
214,10th Pass
215,Post Graduate
216,Graduate
217,Post Graduate
218,10th Pass
219,Graduate Professional
220,12th Pass
221,Graduate
222,Graduate
223,Graduate
224,10th Pass
225,Graduate
226,Post Graduate
227,Graduate Professional
228,Graduate Professional
229,Post Graduate
230,Graduate Professional
231,Post Graduate
232,Graduate
233,Graduate
234,Post Graduate
235,Graduate Professional
236,Graduate
237,Literate
238,Graduate
239,Graduate
240,Graduate
241,Graduate Professional
242,Graduate
243,Graduate
244,Graduate
245,Graduate
246,Post Graduate
247,Graduate
248,12th Pass
249,Post Graduate
250,Graduate Professional
251,Graduate
252,Graduate
253,Graduate
